,user_id,group,is_viewed,products_viewed_cnt,price_sum,is_cart_added,is_purchased,cart_added_cnt,purchased_cnt
0,1515915625353226922,B,1,1,76.48,0.0,0.0,0,0
1,1515915625353230067,A,1,1,28.98,0.0,0.0,0,0
2,1515915625353230683,A,1,10,592.21,0.0,0.0,0,0
3,1515915625353230922,A,1,1,274.4,0.0,0.0,0,0
4,1515915625353234047,A,1,14,1857.94,0.0,0.0,0,0
5,1515915625353236157,A,1,4,179.6,0.0,0.0,0,0
6,1515915625353238403,A,1,1,52.33,0.0,0.0,0,0
7,1515915625353262977,A,1,1,105.05,0.0,0.0,0,0
8,1515915625353271890,A,1,1,32.71,0.0,0.0,0,0
9,1515915625353286099,B,1,5,496.4,0.0,0.0,2,1
10,1515915625353294441,B,1,64,7416.11,0.0,0.0,0,0
11,1515915625353320420,B,1,1,85.0,0.0,0.0,0,0
12,1515915625353386199,B,1,3,62.94,0.0,0.0,0,0
13,1515915625353400724,A,1,2,103.33,0.0,0.0,0,0
14,1515915625353411684,B,1,20,405.4,0.0,0.0,0,0
15,1515915625353416040,A,1,22,3149.74,0.0,0.0,0,0
16,1515915625353439133,A,1,46,781.08,0.0,0.0,0,0
17,1515915625353457259,A,1,1,55.16,0.0,0.0,1,1
18,1515915625353458744,B,1,4,426.2,0.0,0.0,0,0
19,1515915625353460365,A,1,1,28.71,0.0,0.0,0,0
20,1515915625353482553,A,1,60,10094.400000000001,0.0,0.0,0,0
21,1515915625353482613,A,1,3,30.48,0.0,0.0,0,0
22,1515915625353486539,B,1,1,10.68,0.0,0.0,0,0
23,1515915625353487799,B,1,61,1816.5800000000002,0.0,0.0,0,0
24,1515915625353496458,A,1,15,2182.23,0.0,0.0,0,0
25,1515915625353514897,A,1,114,37406.240000000005,0.0,0.0,0,0
26,1515915625353519642,B,1,1,17.35,0.0,0.0,0,0
27,1515915625353521817,B,1,1,24.6,0.0,0.0,0,0
28,1515915625353525936,B,1,1,46.37,0.0,0.0,0,0
29,1515915625353534622,B,1,2,38.1,0.0,0.0,1,1
30,1515915625353540327,B,1,1,92.08,0.0,0.0,0,0
31,1515915625353540917,A,1,4,50.31,0.0,0.0,0,0
32,1515915625353555928,B,1,3,299.76,0.0,0.0,0,0
33,1515915625353556364,A,1,1,38.98,0.0,0.0,0,0
34,1515915625353557166,B,1,1,50.16,0.0,0.0,0,0
35,1515915625353561691,B,1,3,475.72,0.0,0.0,2,2
36,1515915625353564830,B,1,1,28.79,0.0,0.0,0,0
37,1515915625353566030,B,1,1,451.06,0.0,0.0,0,0
38,1515915625353578047,A,1,2,1745.22,0.0,0.0,0,0
39,1515915625353584382,A,1,1,71.75,0.0,0.0,0,0
40,1515915625353599449,A,1,1,337.19,0.0,0.0,0,0
41,1515915625353599928,B,1,1,57.97,0.0,0.0,0,0
42,1515915625353621544,B,1,16,661.97,0.0,0.0,0,0
43,1515915625353662330,B,1,23,2369.65,0.0,0.0,0,0
44,1515915625353678957,B,1,1,229.75,0.0,0.0,0,0
45,1515915625353680947,B,1,1,134.08,0.0,0.0,0,0
46,1515915625353685636,B,1,1,24.92,0.0,0.0,0,0
47,1515915625353689136,A,1,1,13.02,0.0,0.0,0,0
48,1515915625353706476,A,1,12,522.75,0.0,0.0,2,0
49,1515915625353774779,B,1,1,48.57,0.0,0.0,0,0
50,1515915625353799274,B,1,1,98.56,0.0,0.0,0,0
51,1515915625353867330,B,1,1,10.9,0.0,0.0,0,0
52,1515915625353887923,B,1,1,66.46,0.0,0.0,0,0
53,1515915625353899857,A,1,1,12.7,0.0,0.0,0,0
54,1515915625353900095,B,1,17,2667.3,0.0,0.0,2,2
55,1515915625353902368,A,1,1,66.19,0.0,0.0,0,0
56,1515915625353945004,A,1,4,206.23,0.0,0.0,0,0
57,1515915625353946724,B,1,8,657.54,0.0,0.0,0,0
58,1515915625353952775,B,1,1,45.24,0.0,0.0,0,0
59,1515915625353955908,A,1,1,18.52,0.0,0.0,0,0
60,1515915625353961485,A,1,2,1390.64,0.0,0.0,0,0
61,1515915625353974315,B,1,1,236.68,0.0,0.0,0,0
62,1515915625353974623,B,1,1,195.3,0.0,0.0,0,0
63,1515915625353978876,B,1,1,31.81,0.0,0.0,0,0
64,1515915625354036649,B,1,2,174.11,0.0,0.0,0,0
65,1515915625354049581,A,1,1,25.62,0.0,0.0,0,0
66,1515915625354061413,B,1,14,1533.81,0.0,0.0,1,0
67,1515915625354082427,B,1,1,86.37,0.0,0.0,0,0
68,1515915625354083098,B,1,1,117.87,0.0,0.0,0,0
69,1515915625354091399,A,1,10,1344.4,0.0,0.0,0,0
70,1515915625354092826,A,1,1,140.86,0.0,0.0,0,0
71,1515915625354104372,B,1,2,32.94,0.0,0.0,0,0
72,1515915625354114424,B,1,7,627.34,0.0,0.0,0,0
73,1515915625354125302,A,1,2,150.16,0.0,0.0,0,0
74,1515915625354144006,B,1,1,108.86,0.0,0.0,0,0
75,1515915625354144974,A,1,15,2404.8999999999996,0.0,0.0,0,0
76,1515915625354145851,A,1,17,1299.94,0.0,0.0,0,0
77,1515915625354153061,A,1,6,319.83,0.0,0.0,0,0
78,1515915625354163236,A,1,1,11.05,0.0,0.0,0,0
79,1515915625354176736,A,1,3,456.51,0.0,0.0,1,1
80,1515915625354177598,A,1,1,150.84,0.0,0.0,0,0
81,1515915625354203920,B,1,1,17.14,0.0,0.0,0,0
82,1515915625354227904,B,1,9,204.52999999999997,0.0,0.0,2,0
83,1515915625354255113,B,1,1,177.0,0.0,0.0,0,0
84,1515915625354282346,A,1,1,64.27,0.0,0.0,0,0
85,1515915625354294312,B,1,3,631.3299999999999,0.0,0.0,0,0
86,1515915625354329763,A,1,4,134.16,0.0,0.0,0,0
87,1515915625354332774,B,1,1,18.9,0.0,0.0,0,0
88,1515915625354357138,A,1,1,102.16,0.0,0.0,0,0
89,1515915625354385127,A,1,1,300.17,0.0,0.0,1,0
90,1515915625354397425,A,1,1,46.92,0.0,0.0,0,0
91,1515915625354399528,B,1,11,6414.29,0.0,0.0,0,0
92,1515915625354412996,A,1,2,117.94,0.0,0.0,0,0
93,1515915625354434003,A,1,1,37.49,0.0,0.0,0,0
94,1515915625354561351,A,1,3,155.04,0.0,0.0,2,2
95,1515915625354610004,B,1,1,950.11,0.0,0.0,0,0
96,1515915625354626989,A,1,2,275.86,0.0,0.0,0,0
97,1515915625354634505,B,1,1,57.75,0.0,0.0,0,0
98,1515915625354659468,B,1,1,10.68,0.0,0.0,0,0
99,1515915625354660579,A,1,1,446.51,0.0,0.0,0,0
100,1515915625354716664,B,1,1,315.86,0.0,0.0,0,0
101,1515915625354783334,B,1,1,63.35,0.0,0.0,0,0
102,1515915625354785126,B,1,1,927.06,0.0,0.0,0,0
103,1515915625354822642,B,1,3,414.10999999999996,0.0,0.0,1,1
104,1515915625354857951,B,1,10,1046.69,0.0,0.0,2,1
105,1515915625354881485,A,1,2,23.049999999999997,0.0,0.0,0,0
106,1515915625354894775,A,1,1,83.13,0.0,0.0,0,0
107,1515915625354945658,A,1,1,559.54,0.0,0.0,0,0
108,1515915625354959926,B,1,2,105.69,0.0,0.0,0,0
109,1515915625355014045,A,1,1,150.78,0.0,0.0,0,0
110,1515915625355016568,B,1,1,23.0,0.0,0.0,0,0
111,1515915625355027725,A,1,1,35.78,0.0,0.0,0,0
112,1515915625355107928,A,1,1,14.62,0.0,0.0,0,0
113,1515915625355128772,B,1,1,27.25,0.0,0.0,0,0
114,1515915625355140010,A,1,1,425.16,0.0,0.0,0,0
115,1515915625355151562,A,1,4,126.91,0.0,0.0,0,0
116,1515915625355179497,B,1,13,1046.45,0.0,0.0,3,3
117,1515915625355254656,A,1,1,312.79,0.0,0.0,0,0
118,1515915625355324096,A,1,1,33.24,0.0,0.0,0,0
119,1515915625355330928,B,1,1,10.56,0.0,0.0,0,0
120,1515915625355340242,B,1,1,9.37,0.0,0.0,0,0
121,1515915625355352928,B,1,5,271.4,0.0,0.0,0,0
122,1515915625355378394,B,1,1,7.35,0.0,0.0,0,0
123,1515915625355380579,A,1,5,530.72,0.0,0.0,0,0
124,1515915625355390922,A,1,1,10.13,0.0,0.0,0,0
125,1515915625355395060,B,1,1,257.87,0.0,0.0,0,0
126,1515915625355398655,B,1,1,57.75,0.0,0.0,0,0
127,1515915625355398801,B,1,75,4123.62,0.0,0.0,3,3
128,1515915625355421833,B,1,1,26.46,0.0,0.0,1,1
129,1515915625355482870,A,1,1,22.37,0.0,0.0,0,0
130,1515915625355532691,A,1,1,120.0,0.0,0.0,0,0
131,1515915625355568483,A,1,2,141.58,0.0,0.0,0,0
132,1515915625355576948,B,1,1,16.67,0.0,0.0,0,0
133,1515915625355611972,A,1,29,6963.1900000000005,0.0,0.0,0,0
134,1515915625355625837,A,1,1,50.16,0.0,0.0,0,0
135,1515915625355635314,A,1,1,9.84,0.0,0.0,1,1
136,1515915625355707150,B,1,1,56.51,0.0,0.0,0,0
137,1515915625355746162,B,1,1,13.02,0.0,0.0,0,0
138,1515915625355752940,B,1,1,57.32,0.0,0.0,0,0
139,1515915625355784991,B,1,1,81.33,0.0,0.0,0,0
140,1515915625355796580,A,1,1,62.7,0.0,0.0,0,0
141,1515915625355800012,B,1,1,33.71,0.0,0.0,0,0
142,1515915625355805313,A,1,57,21002.89,0.0,0.0,6,5
143,1515915625355811151,A,1,1,42.86,0.0,0.0,0,0
144,1515915625355814440,A,1,1,227.3,0.0,0.0,0,0
145,1515915625355817543,B,1,1,130.11,0.0,0.0,0,0
146,1515915625355819982,A,1,1,18.1,0.0,0.0,0,0
147,1515915625355822946,B,1,1,11.76,0.0,0.0,0,0
148,1515915625355842025,A,1,8,115.1,0.0,0.0,0,0
149,1515915625355862838,B,1,1,257.87,0.0,0.0,0,0
150,1515915625355864058,B,1,1,13.38,0.0,0.0,0,0
151,1515915625355881193,A,1,1,10.48,0.0,0.0,0,0
152,1515915625355890339,B,1,1,19.52,0.0,0.0,0,0
153,1515915625355921433,B,1,1,26.51,0.0,0.0,0,0
154,1515915625355926869,B,1,2,215.16,0.0,0.0,0,0
155,1515915625355928439,A,1,1,53.33,0.0,0.0,0,0
156,1515915625355947830,B,1,2,51.4,0.0,0.0,1,1
157,1515915625355949633,B,1,1,98.41,0.0,0.0,1,0
158,1515915625355956326,A,1,1,50.48,0.0,0.0,0,0
159,1515915625355978854,B,1,5,717.3399999999999,0.0,0.0,1,0
160,1515915625356051774,A,1,1,43.11,0.0,0.0,1,1
161,1515915625356106436,A,1,1,14.13,0.0,0.0,0,0
162,1515915625356119540,A,1,6,418.78,0.0,0.0,0,0
163,1515915625356129712,A,1,6,245.88,0.0,0.0,1,0
164,1515915625356137331,A,1,1,9.84,0.0,0.0,0,0
165,1515915625356175149,B,1,5,2158.4,0.0,0.0,2,1
166,1515915625356198847,A,1,1,43.68,0.0,0.0,0,0
